1 -.45 -.41 1.09 .45 0
2 -.56 -.31 1.51 .16 0
3 .06 .02 1.01 .40 0
4 -.07 -.09 1.45 .26 0
5 -.10 -.09 1.56 .67 0
6 -.14 -.07 .71 .28 0
7 .04 .01 1.50 .71 0
8 -.06 -.06 1.37 .40 0
9 .07 -.01 1.37 .34 0
10 -.13 -.14 1.42 .44 0
11 -.23 -.30 .33 .18 0
12 .07 .02 1.31 .25 0
13 .01 .00 2.15 .70 0
14 -.28 -.23 1.19 .66 0
15 .15 .05 1.88 .27 0
16 .37 .11 1.99 .38 0
17 -.08 -.08 1.51 .42 0
18 .05 .03 1.68 .95 0
19 .01 -.00 1.26 .60 0
20 .12 .11 1.14 .17 0
21 -.28 -.27 1.27 .51 0
22 .51 .10 2.49 .54 1
23 .08 .02 2.01 .53 1
24 .38 .11 3.27 .35 1
25 .19 .05 2.25 .33 1
26 .32 .07 4.24 .63 1
27 .31 .05 4.45 .69 1
28 .12 .05 2.52 .69 1
29 -.02 .02 2.05 .35 1
30 .22 .08 2.35 .40 1
31 .17 .07 1.80 .52 1
32 .15 .05 2.17 .55 1
33 -.10 -.01 2.50 .58 1
34 .14 -.03 .46 .26 1
35 .14 .07 2.61 .52 1
36 .15 .06 2.23 .56 1
37 .16 .05 2.31 .20 1
38 .29 .06 1.84 .38 1
39 .54 .11 2.33 .48 1
40 -.33 -.09 3.01 .47 1
41 .48 .09 1.24 .18 1
42 .56 .11 4.29 .45 1
43 .20 .08 1.99 .30 1
44 .47 .14 2.92 .45 1
45 .17 .04 2.45 .14 1
46 .58 .04 5.06 .13 1
